date,open,high,low,close,volume,symbol
2026-05-05,276.9,284.5,276.5,284.1,49311712,AAPL
2026-05-04,279.6,280.6,274.8,276.8,46668401,AAPL
2026-05-01,278.8,287.2,278.3,280.1,79915442,AAPL
